iter	Passed	Remaining
1221	16270	17016
1222	16280	16999
1223	16290	16982
1224	16300	16965
1225	16322	16961
1226	16334	16946
1227	16343	16928
1228	16352	16911
1229	16363	16895
1230	16395	16901
1231	16401	16881
1232	16410	16863
1233	16420	16846
1234	16427	16826
1235	16451	16824
1236	16463	16809
1237	16476	16795
1238	16483	16776
1239	16498	16764
1240	16522	16762
1241	16534	16747
1242	16543	16729
1243	16558	16718
1244	16566	16699
1245	16592	16699
1246	16605	16685
1247	16613	16666
1248	16625	16652
1249	16639	16639
1250	16666	16640
1251	16674	16621
1252	16683	16603
1253	16699	16592
1254	16708	16575
1255	16734	16574
1256	16746	16560
1257	16759	16546
1258	16766	16526
1259	16779	16513
1260	16802	16509
1261	16815	16496
1262	16823	16477
1263	16839	16466
1264	16851	16452
1265	16878	16451
1266	16883	16430
1267	16902	16422
1268	16908	16401
1269	16927	16393
1270	16948	16388
1271	16960	16374
1272	16973	16360
1273	16985	16345
1274	16997	16330
1275	17018	16324
1276	17033	16313
1277	17041	16295
1278	17055	16282
1279	17061	16261
1280	17083	16256
1281	17092	16239
1282	17103	16223
1283	17115	16208
1284	17127	16194
1285	17148	16188
1286	17159	16172
1287	17174	16161
1288	17181	16141
1289	17192	16125
1290	17217	16123
1291	17225	16105
1292	17236	16090
1293	17247	16074
1294	17254	16055
1295	17276	16050
1296	17289	16036
1297	17297	16018
1298	17307	16002
1299	17316	15984
1300	17341	15982
1301	17353	15967
1302	17362	15949
1303	17375	15936
1304	17383	15918
1305	17411	15918
1306	17418	15899
1307	17433	15887
1308	17441	15869
1309	17451	15853
1310	17475	15849
1311	17486	15834
1312	17495	15816
1313	17505	15800
1314	17515	15784
1315	17536	15777
1316	17548	15762
1317	17556	15745
1318	17570	15732
1319	17582	15717
1320	17607	15714
1321	17614	15695
1322	17621	15677
1323	17634	15663
1324	17643	15646
1325	17664	15639
1326	17672	15621
1327	17684	15606
1328	17692	15589
1329	17704	15574
1330	17725	15568
1331	17732	15549
1332	17745	15535
1333	17759	15522
1334	17771	15508
1335	17795	15504
1336	17801	15484
1337	17816	15473
1338	17822	15453
1339	17838	15442
1340	17860	15436
1341	17869	15419
1342	17883	15407
1343	17896	15392
1344	17904	15375
1345	17928	15371
1346	17940	15356
1347	17949	15339
1348	17962	15325
1349	17968	15306
1350	17993	15302
1351	18002	15286
1352	18015	15272
1353	18024	15255
1354	18038	15243
1355	18062	15238
1356	18068	15218
1357	18078	15203
1358	18089	15187
1359	18100	15172
1360	18121	15165
1361	18127	15146
1362	18139	15132
1363	18154	15119
1364	18166	15105
1365	18191	15102
1366	18199	15083
1367	18213	15071
1368	18221	15053
1369	18240	15045
1370	18264	15040
1371	18271	15022
1372	18285	15009
1373	18293	14991
1374	18308	14979
1375	18331	14974
1376	18343	14960
1377	18356	14946
1378	18363	14928
1379	18376	14914
1380	18404	14912
1381	18411	14894
1382	18430	14885
1383	18436	14866
1384	18447	14850
1385	18469	14845
1386	18479	14828
1387	18489	14812
1388	18496	14794
1389	18507	14779
1390	18535	14777
1391	18542	14759
1392	18554	14745
1393	18567	14731
1394	18575	14713
1395	18597	14707
1396	18603	14688
1397	18619	14676
1398	18626	14659
1399	18635	14642
1400	18658	14636
1401	18667	14619
1402	18679	14605
1403	18686	14586
1404	18695	14570
1405	18718	14564
1406	18724	14545
1407	18735	14530
1408	18744	14513
1409	18755	14499
1410	18777	14492
1411	18784	14474
1412	18799	14462
1413	18809	14446
1414	18817	14429
1415	18843	14425
1416	18851	14407
1417	18862	14392
1418	18871	14376
1419	18883	14362
1420	18904	14354
1421	18912	14337
1422	18924	14322
1423	18934	14307
1424	18944	14291
1425	18966	14284
1426	18974	14267
1427	18983	14251
1428	18994	14235
1429	19005	14220
1430	19030	14216
1431	19042	14202
1432	19051	14185
1433	19062	14170
1434	19073	14155
1435	19096	14149
1436	19108	14135
1437	19117	14118
1438	19126	14102
1439	19136	14086
1440	19161	14081
1441	19171	14066
1442	19182	14050
1443	19195	14037
1444	19202	14020
1445	19226	14014
1446	19232	13995
1447	19246	13982
1448	19253	13965
1449	19267	13952
1450	19289	13945
